job_names,job_group,level,salary,work_mode,domain_list,domain_group,skills_list,languages,tools,frameworks,libraries,programming_languages,others,company_names,city,post_date
Business Analyst,Manager / Lead,mid,Unknown,At office,"['Education and Training', 'Non-Profit and Social Services', 'Healthcare']","['Education / NGO', 'Healthcare']","['Business Analysis', 'Wireframing', 'User story', 'Agile', 'FRS', 'BRD']",,,,,,"['Business Analysis', 'Wireframing', 'User story', 'Agile', 'FRS', 'BRD']",GaneshAID Consultancy Company Limited,Ha Noi,2025-11-25
Manual Tester,QA / Tester,junior,Unknown,At office,"['Banking', 'Financial Services']",['Finance'],"['Tester', 'Data Quality Tools', 'QA QC']",,,,,,"['Tester', 'Data Quality Tools', 'QA QC']",MB Bank,Ha Noi,2025-11-25
Backend Developer,Backend Developer,junior,Unknown,Hybrid,"['IT Services and IT Consulting', 'Software Development Outsourcing', 'Software Products and Web Services']",['IT & Software'],"['Japanese IT Communication', 'PHP', 'Java', 'Japanese', '.NET', 'C++']",['Japanese'],,['.NET'],,"['PHP', 'Java', 'C++']",['Japanese IT Communication'],DXC Luxoft Vietnam,Ho Chi Minh,2025-11-25
ERP Developer,ERP / Enterprise Systems,Unknown,Unknown,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['SAP', 'Ui5', 'SoapUI', 'SOAP', 'Groovy', 'English']",['English'],"['SAP', 'SoapUI']","['Ui5', 'SOAP']",,['Groovy'],,CÔNG TY TNHH ABEAM CONSULTING (VIỆT NAM),Ho Chi Minh,2025-11-25
DevOps Engineer,DevOps / Cloud,principal,Unknown,At office,['Financial Services'],['Finance'],"['DevOps', 'CI/CD', 'Docker', 'Azure', 'AWS', 'Python']",,"['Docker', 'Azure', 'AWS']",,,['Python'],"['DevOps', 'CI/CD']",Techcom Securities,Ha Noi,2025-11-25
BI Analyst / BI Developer,Data / AI,senior,Up to $1000,At office,['Government'],['Government'],"['Business Analysis', 'SAP BusinessObjects', 'Business Intelligence']",,['SAP BusinessObjects'],,,,"['Business Analysis', 'Business Intelligence']",BUCA,Ha Noi,2025-11-25
Fullstack Developer,Fullstack Developer,senior,Unknown,At office,['Software Products and Web Services'],['IT & Software'],"['.NET', 'English', 'Azure', 'SQL', 'WinForms', 'C#']",['English'],['Azure'],['.NET'],,"['SQL', 'C#']",['WinForms'],MiTek Viet Nam,Ho Chi Minh,2025-11-25
Backend Developer,Backend Developer,junior,Up to $1800,At office,['Software Products and Web Services'],['IT & Software'],"['Java', 'Angular', 'Golang']",,,['Angular'],,"['Java', 'Golang']",,Viettel Software Services (A Member of Viettel Group),Ha Noi,2025-11-25
Backend Developer,Backend Developer,mid,Up to $2500,At office,['Financial Services'],['Finance'],"['Spring', 'ReactJS', 'Spring Boot']",,,"['Spring', 'ReactJS', 'Spring Boot']",,,,CODE88 COMPANY LIMITED,Ho Chi Minh,2025-11-25
Automation Tester,QA / Tester,lead,Unknown,At office,"['Software Products and Web Services', 'Financial Services']","['Finance', 'IT & Software']","['QA QC', 'English', 'System Architecture', 'PQA', 'Team Management', 'Automation Test']",['English'],,,,,"['QA QC', 'System Architecture', 'PQA', 'Team Management', 'Automation Test']","MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,2025-11-25
